🚀 Processing pages 400 to 892
   Concurrent: 100 requests
   Pages per request: 2
   Model: Qwen/Qwen3-VL-235B-A22B-Thinking

📄 Found 493 PNG files

📦 Created 247 groups

❌ Pages 852,853      | HTTP 429
❌ Pages 666,667      | HTTP 429
❌ Pages 808,809      | HTTP 429
❌ Pages 644,645      | HTTP 429
❌ Pages 848,849      | HTTP 429
❌ Pages 820,821      | HTTP 429
❌ Pages 776,777      | HTTP 429
❌ Pages 624,625      | HTTP 429
❌ Pages 770,771      | HTTP 429
❌ Pages 826,827      | HTTP 429
✅ Pages 424,425      |  59.7s |  5796 tokens
✅ Pages 478,479      | 134.5s |  8828 tokens

============================================================
✨ Complete: 4/493 pages
⏱️  Time: 2.2 minutes
💰 Tokens: 14,624
⚡ Rate: 219.8 pages/minute
============================================================
